Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD
Exponential,2,1,7.2,Statistical,0.1995721788434887,0.6615541306005461
Constant,2,1,7.3,Simulation,0.25047,0.613077
Constant,2,1,7.3,Statistical,0.24791357705734973,0.6151031136750134
Exponential,2,1,7.3,Simulation,0.206535,0.656594
Exponential,2,1,7.3,Statistical,0.20641293491706794,0.6566139025867065
Constant,2,1,7.4,Simulation,0.257007,0.608373
Constant,2,1,7.4,Statistical,0.25485882061228404,0.6100086215266826
Exponential,2,1,7.4,Simulation,0.212814,0.652674
Exponential,2,1,7.4,Statistical,0.2132188673808933,0.6516573693486736
Constant,2,1,7.5,Simulation,0.263236,0.603442
Constant,2,1,7.5,Statistical,0.26173642026595123,0.6049324694087449
Exponential,2,1,7.5,Simulation,0.218623,0.647671
Exponential,2,1,7.5,Statistical,0.21998524096536778,0.6466912797687089
Constant,2,1,7.6,Simulation,0.27062,0.597798
Constant,2,1,7.6,Statistical,0.2685438931248784,0.5998790795537818
Exponential,2,1,7.6,Simulation,0.225187,0.642565
Exponential,2,1,7.6,Statistical,0.22670777668973902,0.6417218248002987
Constant,2,1,7.7,Simulation,0.277499,0.59323
Constant,2,1,7.7,Statistical,0.27527910983574266,0.594852420902125
Exponential,2,1,7.7,Simulation,0.23436,0.635675
Exponential,2,1,7.7,Statistical,0.23338262474973426,0.636754670568938
Constant,2,1,7.8,Simulation,0.282132,0.588883
Constant,2,1,7.8,Statistical,0.2819402658747416,0.5898560440581477
Exponential,2,1,7.8,Simulation,0.240025,0.632276
Exponential,2,1,7.8,Statistical,0.24000633770462002,0.6317949908002929
Constant,2,1,7.9,Simulation,0.290527,0.583499
Constant,2,1,7.9,Statistical,0.2885258544716567,0.5848931141604452
Exponential,2,1,7.9,Simulation,0.246389,0.626856
Exponential,2,1,7.9,Statistical,0.2465758442123031,0.6268474983476495
Constant,2,1,8.0,Simulation,0.296212,0.578725
Constant,2,1,8.0,Statistical,0.29503464117350475,0.5799664416968825
Exponential,2,1,8.0,Simulation,0.252858,0.621963
Exponential,2,1,8.0,Statistical,0.25308842350690075,0.6219164756444692
Constant,2,1,8.1,Simulation,0.302595,0.574107
Constant,2,1,8.1,Statistical,0.30146564002991416,0.5750785113152979
Exponential,2,1,8.1,Simulation,0.258405,0.617674
Exponential,2,1,8.1,Statistical,0.2595416807667065,0.6170058039538853
Constant,2,1,8.2,Simulation,0.308779,0.569128
Constant,2,1,8.2,Statistical,0.30781809136468297,0.5702315086955833
Exponential,2,1,8.2,Simulation,0.265702,0.612083
